mz,rt,int,mzUncertainty,rtUncertainty,intUncertainty,dqs_cen,dqs_bin,dqs_peak
198.099,119.279,2.23648e+06,2.77226e-05,-4.1282,617101,0.833034,0.86148,0.565469
206.049,274.778,1.04144e+06,2.17153e-05,1.08064,172141,0.841009,0.70806,0.68669
206.084,885.18,1.08013e+07,2.499e-05,0.377744,1.02752e+06,0.816851,0.631681,0.761497
207.142,466.765,1.79278e+07,1.94444e-05,-0.263096,1.35757e+06,0.831617,0.984483,0.781595
207.142,439.039,1.39968e+07,1.84288e-05,-0.433644,1.35298e+06,0.834038,0.964074,0.759896
207.898,1005.85,8.03756e+07,4.79142e-05,0.201482,1.12429e+07,0.75152,0.770577,0.714107
208.023,1004.26,3.33061e+07,1.82186e-05,0.24847,1.61211e+06,0.796246,0.749711,0.809324
208.095,885.687,9.59435e+07,1.60941e-05,0.287077,1.58131e+07,0.829348,0.892887,0.687205
168.057,814.156,3.6049e+07,1.42254e-05,1.61201,4.33666e+06,0.827489,0.564502,0.735003
209.163,751.32,3.83818e+07,5.59207e-05,0.600648,5.88687e+06,0.785422,0.671398,0.699583
210.093,430.344,1.31099e+07,1.72973e-05,-1.24706,1.40221e+06,0.833642,0.953588,0.749102
210.619,1004.83,2.3438e+07,3.85184e-05,0.381925,3.87312e+06,0.785332,0.998836,0.686735
211.003,140.251,3.86715e+06,1.58976e-05,-3.0782,575346,0.830134,0.941129,0.704542
211.003,119.365,1.07916e+07,4.29767e-05,-6.3231,4.20338e+06,0.822683,0.953057,0.443519
212.212,896.616,8.0525e+08,1.64619e-05,0.456942,2.56013e+08,0.835768,0.921703,0.519665
213.187,832.972,3.23207e+07,3.19554e-05,0.343909,5.85566e+06,0.822751,0.721999,0.669419
213.24,954.873,8.42395e+07,2.11511e-05,0.706915,1.10675e+07,0.81904,0.792004,0.723204
215.045,923.704,6.31186e+07,1.57612e-05,0.239914,4.85787e+06,0.821829,0.9796,0.780321
215.597,436.332,3.03764e+06,2.30098e-05,-1.33705,469861,0.818843,0.971448,0.698176
215.964,51.2223,1.80788e+06,9.655e-06,0.538445,199424,0.826227,0.800727,0.745573
216.259,944.133,1.27416e+08,2.80614e-05,0.409374,1.88554e+07,0.81964,0.997324,0.705398
217.047,923.837,5.67085e+07,1.89124e-05,0.389844,5.53776e+06,0.795726,0.984696,0.758862
219.116,765.441,1.68712e+08,1.37329e-05,0.471483,1.82433e+07,0.835268,0.96101,0.747866
220.137,840.653,1.97913e+08,1.93864e-05,0.480377,8.27775e+07,0.819834,0.777453,0.413974
223.146,911.685,1.14811e+08,1.24381e-05,0.218029,1.90624e+07,0.832218,0.82428,0.685886
225.055,424.897,5.05946e+06,2.93257e-05,-0.457313,249902,0.832029,0.947761,0.808331
228.121,436.859,1.17815e+07,2.1187e-05,-0.36895,535386,0.83155,0.957026,0.812284
228.636,503.2,5.20937e+06,4.04542e-05,-0.605722,377671,0.8406,0.7258,0.784905
230.231,849.807,1.18227e+08,2.73275e-05,0.672724,5.13484e+07,0.822433,0.992737,0.397793
231.141,918.017,3.79476e+08,2.50015e-05,0.173162,2.82348e+07,0.833703,0.583188,0.78295
240.243,933.838,4.61138e+08,1.94441e-05,0.116101,4.59012e+07,0.83527,0.902404,0.756889
241.246,934.166,1.13651e+08,3.5844e-05,0.291099,1.15787e+07,0.828786,0.88597,0.754437
242.131,816.892,1.60301e+08,2.72555e-05,0.971759,3.91366e+07,0.825144,0.916879,0.600368
243.248,1429.76,2.4635e+06,2.28293e-05,0.848716,532675,0.83743,0.86049,0.63105
213.215,896.238,6.06365e+07,1.98565e-05,0.951858,1.30755e+07,0.83261,0.512421,0.631696
244.091,761.855,9.79755e+07,3.55292e-05,0.169026,1.16822e+07,0.826646,0.886571,0.736131
244.291,967.637,2.68839e+07,2.838e-05,0.165494,3.62974e+06,0.814986,0.775234,0.719319
247.041,489.749,7.48774e+06,3.21717e-05,-5.76627,3.30929e+06,0.821049,0.86961,0.390192
247.173,546.244,1.1183e+07,3.79316e-05,-0.909827,1.1622e+06,0.83048,0.844112,0.752289
252.003,883.139,2.56978e+07,2.25389e-05,0.561613,3.69231e+06,0.812874,0.754158,0.710025
252.015,924.197,6.00051e+07,3.62853e-05,0.41348,1.00486e+07,0.817757,0.998221,0.684335
252.997,883.1,2.47953e+08,1.33386e-05,0.688826,3.86003e+07,0.835824,0.351722,0.6971
254,884.126,1.42526e+07,2.19198e-05,0.475962,2.57484e+06,0.833215,0.999462,0.669981
256.068,784.429,1.76682e+08,1.51008e-05,0.199223,2.85942e+07,0.819545,0.748915,0.690431
257.132,485.726,1.27039e+07,6.05132e-05,-0.457157,1.0525e+06,0.834563,0.802314,0.774253
257.157,930.809,1.10688e+08,3.482e-05,0.234537,1.13479e+07,0.82132,0.773125,0.753763
257.201,828.502,4.71602e+07,3.5574e-05,1.46194,6.62461e+06,0.808103,0.84943,0.713474
258.138,835.101,2.6919e+07,2.24572e-05,0.499236,4.83132e+06,0.831173,0.788289,0.671269
258.262,925.748,2.39559e+07,2.91555e-05,0.328542,3.2135e+06,0.823679,0.589516,0.720253
262.101,766.787,2.83522e+07,3.47015e-05,0.177708,7.44852e+06,0.833691,0.984148,0.579963
264.132,851.879,2.36621e+07,4.40274e-05,0.152852,3.65822e+06,0.827261,0.805639,0.698259
265.272,1498.66,1.02167e+07,3.87548e-05,1.38153,2.06923e+06,0.801741,0.925241,0.646069
267.045,426.259,2.9859e+06,4.13032e-05,-0.79913,221170,0.819574,0.884704,0.783292
227.183,863.013,6.16783e+07,2.41278e-05,0.162966,1.1053e+07,0.826759,0.458838,0.671566
