mz,rt,int,mzUncertainty,rtUncertainty,intUncertainty,dqs_cen,dqs_bin,dqs_peak
198.16,198.061,4.58041e+09,1.79301e-05,-3.83024,6.49179e+08,0.835274,0.995459,0.712122
199.163,688.953,1.69928e+09,1.16787e-05,-35.4396,2.72268e+08,0.831437,0.981191,0.69218
199.163,192.065,7.34997e+08,2.21779e-05,-7.62241,2.07644e+08,0.829331,0.985547,0.558255
200.004,354.638,1.75196e+07,3.17629e-05,0.191627,910023,0.833091,0.950877,0.805771
200.014,356.108,1.31118e+08,2.46779e-05,0.518631,1.66227e+07,0.83522,0.831376,0.728115
201.026,691.215,2.54665e+08,1.23011e-05,-16.6384,1.34704e+08,0.833578,0.996916,0.308655
201.026,254.507,3.65401e+08,7.57025e-06,-2.85134,2.66121e+07,0.835528,0.996764,0.784566
201.026,155.062,8.27844e+07,1.83362e-05,0.923375,1.06045e+07,0.826721,0.997039,0.726707
201.026,624.698,1.49763e+08,9.66391e-06,0.588355,1.82921e+07,0.83503,0.903462,0.733048
202.086,140.746,2.63846e+07,2.75668e-05,0.289526,3.36507e+06,0.814917,0.707582,0.727303
207.137,410.519,1.66205e+08,2.40021e-05,0.240302,1.88006e+07,0.844513,0.928829,0.742608
208.181,200.913,8.47061e+08,1.7377e-05,-5.72707,1.35317e+08,0.834595,0.997208,0.692696
208.181,693.244,4.29833e+09,8.05313e-06,-2.67388,7.38137e+08,0.836331,0.986876,0.679703
212.015,335.467,8.21407e+07,1.89158e-05,0.39507,1.51644e+07,0.825255,0.858247,0.665666
213.052,128.537,1.49125e+07,3.2909e-05,0.392567,1.83567e+06,0.827787,0.990904,0.732032
213.168,347.241,1.91152e+08,1.7269e-05,0.581261,2.90395e+07,0.833702,0.968825,0.701156
214.046,127.833,2.68668e+07,1.63895e-05,0.0630151,1.13872e+06,0.832965,0.994587,0.815334
214.968,605.35,1.00753e+08,1.89501e-05,0.289495,3.31475e+07,0.832009,0.733771,0.507704
214.993,433.631,1.05585e+07,2.20963e-05,0.56535,1.52843e+06,0.813048,0.770655,0.708869
215.978,604.181,3.13669e+08,1.66764e-05,0.656476,4.25879e+07,0.83378,0.965857,0.718508
218.067,381.988,1.39284e+07,3.29652e-05,0.835314,1.79445e+06,0.828697,0.880492,0.725923
219.032,429.648,1.19563e+07,1.36618e-05,0.49394,1.88571e+06,0.831158,0.956938,0.694894
220.767,488.773,9.33642e+07,1.33394e-05,0.450299,1.3284e+07,0.828959,0.988086,0.711529
222.765,488.205,2.90478e+08,1.74493e-05,0.873031,2.79164e+07,0.830158,0.947096,0.760479
224.763,490.058,2.26026e+08,1.31752e-05,0.337716,3.09638e+07,0.834907,0.948975,0.717203
224.983,347.646,1.76649e+07,2.09017e-05,0.356283,2.41373e+06,0.833977,0.940643,0.71758
226.965,133.798,2.86509e+06,3.28461e-05,0.563589,342409,0.828995,0.795871,0.73584
207.989,129.905,4.20443e+07,3.2245e-05,0.904318,3.3477e+06,0.826792,0.628345,0.777583
227.111,138.051,2.55365e+09,1.18037e-05,0.296474,2.67359e+08,0.834989,0.947607,0.75148
229.985,494.492,6.40346e+07,1.79931e-05,0.273079,1.57174e+07,0.834487,0.780245,0.598931
231.044,396.406,4.3079e+08,3.22361e-05,0.564647,6.32255e+07,0.820441,0.915996,0.706708
232.985,458.207,2.58886e+07,3.104e-05,0.209711,2.38231e+06,0.839492,0.72496,0.764737
239.008,584.463,6.78135e+06,3.78144e-05,0.413349,1.1268e+06,0.83138,0.664179,0.685747
